date,close
03/23/2012,17.17
03/26/2012,17.4271
03/27/2012,17.2386
03/28/2012,16.9721
03/29/2012,16.4357
03/30/2012,16.4343
04/02/2012,16.2814
04/03/2012,16.1371
04/04/2012,15.7514
04/05/2012,15.7857
04/09/2012,15.24
04/10/2012,14.56
04/11/2012,14.2586
04/12/2012,14.8943
04/13/2012,14.8814
04/16/2012,14.45
04/17/2012,15.2886
04/18/2012,15.28
04/19/2012,15.2986
04/20/2012,15.1586
04/23/2012,14.5486
04/24/2012,12.5257
04/25/2012,12.3357
04/26/2012,12.1529
04/27/2012,11.9629
04/30/2012,11.4486
05/01/2012,11.6229
05/02/2012,11.7471
05/03/2012,10.8529
05/04/2012,10.4493
05/07/2012,10.4929
05/08/2012,10.3986
05/09/2012,10.6214
05/10/2012,10.3457
05/11/2012,11.0543
05/14/2012,10.9943
05/15/2012,11.0686
05/16/2012,10.6
05/17/2012,10.2814
05/18/2012,9.9943
05/21/2012,10.2486
05/22/2012,9.6729
05/23/2012,10.2729
05/24/2012,10.0386
05/25/2012,10.0314
05/29/2012,9.92
05/30/2012,9.62
05/31/2012,9.0629
06/01/2012,8.9929
06/04/2012,9.2857
06/05/2012,9.2614
06/06/2012,9.4114
06/07/2012,9.2343
06/08/2012,9.3771
06/11/2012,9
06/12/2012,9.0029
06/13/2012,8.9757
06/14/2012,8.9514
06/15/2012,9.3986
06/18/2012,9.5329
06/19/2012,9.9757
06/20/2012,9.737
06/21/2012,9.4057
06/22/2012,9.6943
06/25/2012,9.5757
06/26/2012,9.5429
06/27/2012,9.4986
06/28/2012,9.6229
06/29/2012,9.7836
07/02/2012,9.6929
07/03/2012,10.2914
07/05/2012,11.6743
07/06/2012,11.6986
07/09/2012,11.8557
07/10/2012,11.4614
07/11/2012,11.6629
07/12/2012,12.1386
07/13/2012,12.1286
07/16/2012,11.8543
07/17/2012,11.6829
07/18/2012,11.61
07/19/2012,11.8743
07/20/2012,11.6886
07/23/2012,11.42
07/24/2012,11.4843
07/25/2012,8.6114
07/26/2012,8.1443
07/27/2012,8.4171
07/30/2012,8.25
07/31/2012,8.1214
08/01/2012,7.7857
08/02/2012,7.6957
08/03/2012,7.7014
08/06/2012,8.1129
08/07/2012,8.2714
08/08/2012,8.2571
08/09/2012,8.2729
08/10/2012,8.5571
08/13/2012,8.5586
08/14/2012,8.8229
08/15/2012,9.0371
08/16/2012,9.1871
08/17/2012,9.0986
08/20/2012,9.1771
08/21/2012,9.3714
08/22/2012,9.3429
08/23/2012,9.15
08/24/2012,9.0229
08/27/2012,8.9129
08/28/2012,8.9929
08/29/2012,9.0629
08/30/2012,8.64
08/31/2012,8.5314
09/04/2012,7.99
09/05/2012,7.8514
09/06/2012,8.0929
09/07/2012,8.0943
09/10/2012,7.9886
09/11/2012,8.1657
09/12/2012,8.1729
09/13/2012,8.2857
09/14/2012,8.6457
09/17/2012,8.1457
09/18/2012,8.0086
09/19/2012,8.1486
09/20/2012,8.3914
09/21/2012,8.2557
09/24/2012,8.0557
09/25/2012,7.6857
09/26/2012,7.8757
09/27/2012,7.9357
09/28/2012,7.7771
10/01/2012,8.0071
10/02/2012,8.0657
10/03/2012,8.94
10/04/2012,9.5243
10/05/2012,9.5086
10/08/2012,10.5029
10/09/2012,9.3612
10/10/2012,9.3571
10/11/2012,9.4257
10/12/2012,9.1905
10/15/2012,9.2514
10/16/2012,9.4357
10/17/2012,9.7886
10/18/2012,9.6229
10/19/2012,9.2829
10/22/2012,9.6971
10/23/2012,9.7457
10/24/2012,8.5882
10/25/2012,8.7871
10/26/2012,9.94
10/31/2012,11.3199
11/01/2012,11.0986
11/02/2012,10.9857
11/05/2012,11.1771
11/06/2012,10.91
11/07/2012,11.0971
11/08/2012,10.8529
11/09/2012,11.1286
11/12/2012,11.17
11/13/2012,11.3726
11/14/2012,11.3973
11/15/2012,11.6401
11/16/2012,11.5571
11/19/2012,11.623
11/20/2012,11.7714
11/21/2012,11.8571
11/23/2012,11.85
11/26/2012,11.7229
11/27/2012,11.8686
11/28/2012,11.7471
11/29/2012,11.6257
11/30/2012,11.6729
12/03/2012,10.8571
12/04/2012,12.3784
12/05/2012,11.91
12/06/2012,12.31
12/07/2012,12.2829
12/10/2012,12.1143
12/11/2012,12.2977
12/12/2012,12.9614
12/13/2012,13.2229
12/14/2012,13.3286
12/17/2012,13.5286
12/18/2012,13.663
12/19/2012,13.4255
12/20/2012,13.3571
12/21/2012,13.0486
12/24/2012,12.89
12/26/2012,12.95
12/27/2012,12.9286
12/28/2012,12.7614
12/31/2012,13.2271
01/02/2013,13.1443
01/03/2013,13.7986
01/04/2013,13.7114
01/07/2013,14.1715
01/08/2013,13.8795
01/09/2013,13.7014
01/10/2013,14
01/11/2013,14.47
01/14/2013,14.7779
01/15/2013,14.5271
01/16/2013,13.9257
01/17/2013,13.9571
01/18/2013,14.1671
01/22/2013,13.9729
01/23/2013,14.7514
01/24/2013,20.98
01/25/2013,24.2228
01/28/2013,23.1586
01/29/2013,24.16
01/30/2013,23.9571
01/31/2013,23.6057
02/01/2013,23.5429
02/04/2013,24.9628
02/05/2013,24.9124
02/06/2013,26.3443
02/07/2013,25.9946
02/08/2013,25.8528
02/11/2013,25.4128
02/12/2013,25.4214
02/13/2013,26.6098
02/14/2013,26.7714
02/15/2013,27.0731
02/19/2013,28.0643
02/20/2013,26.7314
02/21/2013,26.7357
02/22/2013,25.6943
02/25/2013,25.6171
02/26/2013,26.2986
02/27/2013,26.3314
02/28/2013,26.8686
03/01/2013,27.0528
03/04/2013,25.8871
03/05/2013,25.9614
03/06/2013,26.1343
03/07/2013,25.9371
03/08/2013,26.3857
03/11/2013,25.7786
03/12/2013,26.0157
03/13/2013,27.48
